Date,Open,High,Low,Close,Volume
2008-10-02,3.25184,3.27333,3.01011,3.01258,1909339773
2008-10-03,3.13024,3.20505,2.8484,2.92025,2722457674
2008-10-06,2.76856,2.97297,2.63453,2.95344,2500174998
2008-10-07,3.02488,3.05358,2.67711,2.68342,2229262144
2008-10-08,2.58803,2.89954,2.57805,2.70205,2619877236
2008-10-09,2.8136,2.88259,2.60635,2.67021,1919307755
2008-10-10,2.57845,3.01011,2.55826,2.91325,2633399034
2008-10-13,3.15361,3.32617,3.03967,3.31768,1826144956
2008-10-14,3.50237,3.50306,3.10334,3.13242,2350893849
2008-10-15,3.12473,3.21953,2.94625,2.94822,1877750331
2008-10-16,3.00242,3.11202,2.76147,3.06638,2344118471
2008-10-17,2.99228,3.07102,2.58485,2.93077,2089948649
2008-10-20,3.00272,3.0111,2.81804,2.96231,1835479165
2008-10-21,2.91688,2.94673,2.74334,2.75338,2432179169
2008-10-22,2.92949,3.04598,2.79656,2.91463,2666337095
2008-10-23,2.90546,2.98657,2.76541,2.95581,1986477876
2008-10-24,2.71782,2.94673,2.7117,2.9012,1886232495
2008-10-27,2.86101,2.93786,2.76463,2.77134,1434712136
2008-10-28,2.87174,3.02488,2.77972,3.00694,1939734071
2008-10-29,3.03178,3.29671,3.00794,3.14601,2317153491
2008-10-30,3.26182,3.37564,3.23893,3.34184,1943259782
2008-10-31,3.23106,3.33376,3.16425,3.23826,1954661088
2008-11-03,3.18739,3.28329,3.15557,3.21874,1255415169
2008-11-04,3.31001,3.364,3.21006,3.34046,1659833173
2008-11-05,3.2775,3.30202,3.0997,3.10825,1491053012
2008-11-06,3.04046,3.09298,2.94971,2.98193,1564706695
2008-11-07,2.9835,3.0052,2.88043,2.95611,1300272396
2008-11-10,3.01868,3.02194,2.84375,2.88535,1333461361
2008-11-11,2.85412,2.92319,2.77645,2.85213,1452841819
2008-11-12,2.78304,2.80591,2.70895,2.7119,1395842935
2008-11-13,2.70875,2.90318,2.58893,2.90318,2200224471
2008-11-14,2.81785,2.82827,2.70875,2.71534,1666484835
2008-11-17,2.66243,2.72491,2.62616,2.65227,1379507520
2008-11-18,2.69662,2.73889,2.61345,2.70579,1435476507
2008-11-19,2.69909,2.75634,2.59433,2.59671,1390524614
2008-11-20,2.56074,2.60161,2.40688,2.42216,2035725845
2008-11-21,2.46632,2.53137,2.38207,2.48554,1861778299
2008-11-24,2.56152,2.85292,2.55286,2.79705,1711391413
2008-11-25,2.84751,2.85026,2.65277,2.7327,1465883852
2008-11-26,2.7114,2.86614,2.70401,2.85913,1067795359
2008-11-28,2.85006,2.85193,2.76463,2.78857,357462629
2008-12-01,2.74817,2.77675,2.67613,2.67633,1096009131
2008-12-02,2.70875,2.7878,2.6034,2.78236,1363056752
2008-12-03,2.68943,2.89659,2.67189,2.88613,1588644080
2008-12-04,2.83944,2.86514,2.68026,2.75063,1295155851
2008-12-05,2.71683,2.84355,2.67386,2.82857,1238508047
2008-12-08,2.92221,3.03356,2.88259,3.00104,1405154882
2008-12-09,2.94852,3.11793,2.92466,3.0116,1428199393
2008-12-10,2.94429,2.99426,2.90517,2.95512,1113030507
2008-12-11,2.9225,3.0458,2.85412,2.85913,1234861171
2008-12-12,2.79559,2.97907,2.78404,2.9571,1235614256
2008-12-15,2.88879,2.89599,2.79861,2.85163,1056615236
2008-12-16,2.82857,2.90448,2.79124,2.87174,1297240900
2008-12-17,2.73909,2.74176,2.64941,2.68342,1535484369
2008-12-18,2.69368,2.73338,2.66094,2.6914,1016328112
2008-12-19,2.70845,2.73714,2.67189,2.70875,951265552
2008-12-22,2.70875,2.70944,2.54838,2.58004,1002495097
2008-12-23,2.61769,2.64458,2.58505,2.59944,753515125
2008-12-24,2.59088,2.59552,2.54418,2.55975,322161297
2008-12-26,2.60489,2.63139,2.56515,2.58223,365895575
2008-12-29,2.60713,2.63651,2.56074,2.60655,814094441
2008-12-30,2.63139,2.65021,2.54918,2.59671,1146890037
2008-12-31,2.58823,2.64066,2.56852,2.56882,721009748
2009-01-02,2.57543,2.74008,2.56318,2.73122,885321015
2009-01-05,2.80189,2.89501,2.78975,2.84633,1401975344
2009-01-06,2.8881,2.92319,2.7802,2.7992,1529986422
2009-01-07,2.75704,2.78304,2.71604,2.73929,893584385
2009-01-08,2.72195,2.80307,2.70974,2.78955,786594219
